шевчук	85560
фото	69014
серов	60528
шевченко	48932
верещагин	48507
леонов	47093
рерих	43416
врубель	42285
шилов	38891
петров	34931
васнецов	29415
зайцев	24041
грабарь	23193
чернов	17536
миллер	16970
неизвестный	15415
бенуа	14990
ле	13576
коньков	13435
баженов	13435
хомяков	13435
вишневский	12869
ушаков	18949
левицкий	11030
коровин	10748
адрианов	10182
паньков	10182
александров	9475
покровский	9192
сомов	9192
родченко	9051
пахомов	8909
панов	8626
картины	40727
федотов	8485
мельников	8202
пиранези	7778
лебедев	7636
воронин	7636
вучетич	6646
надёжин	6081
иофан	6081
жак	6081
